_id,categoria,link,nombre,puntuacion,ubicacion
Banco de España,Interés arquitectonico,null,Banco de España,4.0,"Calle de Alcala, 48, 28014 Madrid España"
Teatro Calderón,Ópera • Teatros,http://teatrocalderon.es/,Teatro Calderón,4.0,"Ronda Atocha 18, 28012 Madrid España"
Museo del Traje,Museos especializados,http://museodeltraje.mcu.es/,Museo del Traje,4.0,"Avenida de Juan de Herrera 2, 28040 Madrid España"
Museo de Cera de Madrid,Museos especializados,http://www.museoceramadrid.com/,Museo de Cera de Madrid,3.5,"Pº de Recoletos, 41, 28004 Madrid España"
Teatro de la Zarzuela,Teatros,http://teatrodelazarzuela.mcu.es/,Teatro de la Zarzuela,4.5,"Calle Jovellanos 4, 28014 Madrid España"
Museo de America,Museos de historia,http://www.mecd.gob.es/museodeamerica/en/el-museo.html,Museo de America,4.0,"Avenida de los Reyes Catolicos, 6, 28040 Madrid España"
Palacio de los Deportes,Complejos deportivos,http://palaciodedeportes.com/,Palacio de los Deportes,4.0,"Plaza de Felipe II 4, 28009 Madrid España"
El Oso y el Madroño,Puntos emblemáticos y de interés,null,El Oso y el Madroño,4.0,"Plaza de La Puerta del Sol s/n, 28013 Madrid España"
Museo del Ferrocarril de Madrid,Museos especializados • Museos de historia,http://www.museodelferrocarril.org/,Museo del Ferrocarril de Madrid,4.0,"Paseo Delicias 61, 28045 Madrid España"
Corral De La Moreria,Cenas con espectáculo,http://www.corraldelamoreria.com/,Corral De La Moreria,4.5,"Calle Morería, 17, 28005 Madrid España"
Centro Comercial Príncipe Pío,Centros comerciales,http://www.principepio.es/,Centro Comercial Príncipe Pío,4.0,"Paseo de la Florida 2 S/n, 28008 Madrid España"
Casa de América,Galerías de arte,http://www.casamerica.es/,Casa de América,4.5,"Paseo Recoletos 2, 28001 Madrid España"
Cripta de la Almudena,Puntos emblemáticos y de interés,http://criptaalmudena.archimadrid.es/,Cripta de la Almudena,4.5,"Calle Mayor 90, 28013 Madrid España"
Teatro Coliseum,Teatros,http://www.teatromadrid.es/teatro-coliseum?tb_orderby=popular,Teatro Coliseum,4.0,"Gran Vía 78, 28013 Madrid España"
Mercado San Fernando,Mercadillos • Mercados de agricultores,http://www.mercadodesanfernando.es/,Mercado San Fernando,4.0,"Calle Embajadores 41, 28012 Madrid España"
Museo Casa de la Moneda,Museos especializados,http://www.museocasadelamoneda.es/,Museo Casa de la Moneda,4.5,"Calle Doctor Esquerdo 36, 28009 Madrid España"
Iglesia de San Manuel y San Benito,Lugares religiosos,http://www.samasabe.es/,Iglesia de San Manuel y San Benito,4.5,"Calle Alcala 83, 28001 Madrid España"
EXIT Madrid,Juegos de escape • Centros de juego y entretenimiento,http://www.exit-game.es/,EXIT Madrid,5.0,"Calle de Caracas 15, local, 28010 Madrid España"
Palacio de Linares,Castillos,http://www.casamerica.es/,Palacio de Linares,4.5,no disponible
Monumento a Cervantes,Puntos emblemáticos y de interés • Monumentos y estatuas,https://www.esmadrid.com/en/tourist-information/monumento-a-cervantes,Monumento a Cervantes,4.0,"En el centro de Plaza de España, 28008 Madrid España"
La Orden Escape Room,Juegos de escape,http://laordenescape.com/,La Orden Escape Room,5.0,"Calle Tomás Borrás, 10, 28045 Madrid España"
Museo Nacional de Ciencias Naturales,Museos de ciencias,http://www.mncn.csic.es/,Museo Nacional de Ciencias Naturales,3.5,"Calle Jose Gutierrez Abascal 2, 28006 Madrid España"
Museo de San Isidro,Museos de historia,http://www.madrid.es/museosanisidro,Museo de San Isidro,4.0,"Plaza San Andres 2, 28005 Madrid España"
Puerta de Toledo,Puntos emblemáticos y de interés • Monumentos y estatuas,https://www.tripadvisor.es/RestaurantsNear-g187514-d244296-Puerta_de_Toledo-Madrid.html,Puerta de Toledo,4.0,no disponible
Museo de la Catedral de la Almudena,Museos de historia • Iglesias y catedrales,http://museocatedral.archimadrid.es/,Museo de la Catedral de la Almudena,4.5,"Plaza de la Almudena S/N Catedral de la Almudena, 28013 Madrid España"
La Real Armería de Madrid,Museos militares,http://www.museodelprado.es/en/exhibitions/exhibitions/at-the-museum/arte-del-poder-armas-y-pinturas-de-la-corte-espanola/la-exposicion/la-real-armeria-de-madrid/,La Real Armería de Madrid,4.5,"Calle Bailén, 6 Madrid, 28013 Distrito: Centro - Barrio: Palacio, 28013 Madrid España"
Plaza Colón,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d532192-Plaza_Colon-Madrid.html,Plaza Colón,4.0,no disponible
Campo del Moro,Parques,http://www.madrid-tourist.com/madrid-attractions/campo-moro-moor-park-madrid.html,Campo del Moro,4.0,"Paseo de la Virgen del Puerto 1, 28005 Madrid España"
Fox In A Box Madrid,Juegos de escape • Centros de juego y entretenimiento,http://www.foxinaboxmadrid.com/,Fox In A Box Madrid,5.0,"Calle Infantas, 25, 28004 Madrid España"
Iglesia de Santa Bárbara (Salesas Reales),Lugares religiosos,http://www.parroquiadesantabarbara.es/,Iglesia de Santa Bárbara (Salesas Reales),4.5,"Calle Barbara de Braganza 3, 28004 Madrid España"
Plaza del Callao,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d4559139-Plaza_del_Callao-Madrid.html,Plaza del Callao,4.0,no disponible
Calle Mayor,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d7974565-Calle_Mayor-Madrid.html,Calle Mayor,4.0,no disponible
Basílica de San Miguel,Lugares religiosos,http://www.bsmiguel.es/,Basílica de San Miguel,4.5,"Calle San Justo 4, 28005 Madrid España"
Cuatro Torres Business Area,Puntos emblemáticos y de interés,https://www.tripadvisor.es/RestaurantsNear-g187514-d4722358-Cuatro_Torres_Business_Area-Madrid.html,Cuatro Torres Business Area,4.5,no disponible
Fuente del Ángel Caído,Monumentos y estatuas • Fuentes,http://www.esmadrid.com/informacion-turistica/el-angel-caido,Fuente del Ángel Caído,4.0,"Glorieta del Ángel Caído, S/N Parque del Retiro, 28014 Madrid España"
Iglesia de San Ginés,Puntos emblemáticos y de interés • Iglesias y catedrales,http://www.parroquiadesangines.es/,Iglesia de San Ginés,4.0,"Calle del Arenal 13, 28013 Madrid España"
Centro de Exposiciones Arte Canal,Galerías de arte • Museos especializados • Museos de historia,https://www.facebook.com/CentrodeExposicionesArteCanal/,Centro de Exposiciones Arte Canal,4.0,"Paseo Castellana 214, 28046 Madrid España"
Estanque Grande del Retiro,Masas de agua,http://www.madrid.es/portales/munimadrid/es/Inicio/Estanque-Grande-de-El-Retiro?vgnextfmt=default&vgnextoid=6dc6b9b3c9a2f210VgnVCM1000000b205a0aRCRD&vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD,Estanque Grande del Retiro,4.5,"Paseo de Colombia 2 Dentro del Parque del Buen Retiro, 28016 Madrid España"
